Cidades,tx_distorcao_medio,tx_distorcao_fundamental,Media_Enem,taxa_escolas_por_habitante,ideb_ano_final,ideb_ensino_medio,ideb_ano_inicial,populacao,Idade,Total_alfabetização,Taxa aprovados fundamental total ,Taxa aprovados total EM,Taxa de abandonos EF,Taxa de abandonos EM,Dependencia,Localizacao
Santo Inácio do Piauí,35.5,9.7,,0.8228195282501372,4.8,4.3,5.3,3646.0,Total,75.64,100.0,97.8,0.0,2.2,Pública,Total
Sebastião Barros,50.6,33.5,,1.2492192379762648,3.8,4.155348837209303,3.8,3202.0,Total,81.08,91.3,88.3,1.8,6.9,Pública,Total
Sebastião Leal,20.6,18.9,,0.899685110211426,4.6,4.2,5.8,4446.0,Total,79.18,90.0,99.0,1.9,1.0,Pública,Total
Sigefredo Pacheco,34.8,10.6,,0.5285412262156448,5.4,4.2,6.1,9460.0,Total,72.81,97.6,99.7,1.0,0.3,Pública,Total
Simplício Mendes,23.9,6.1,,0.5046863734679163,4.9,4.1,6.7,13870.0,Total,83.53,99.5,98.0,0.0,1.8,Pública,Total
Simões,15.8,8.5,,0.5574912891986062,5.8,4.0,7.3,14350.0,Total,76.78,100.0,94.3,0.0,4.5,Pública,Total
Socorro do Piauí,22.1,16.1,,0.9659502535619415,3.5,4.5,4.9,4141.0,Total,78.55,91.9,96.7,1.0,3.3,Pública,Total
Sussuapara,24.2,23.4,,0.3215434083601286,4.3,4.7,5.2,6220.0,Total,77.7,90.5,98.2,1.2,1.8,Pública,Total
São Braz do Piauí,30.5,13.7,,0.6883891693437356,5.1,4.1,5.5,4358.0,Total,77.18,97.2,96.9,0.1,1.0,Pública,Total
São Francisco de Assis do Piauí,22.0,21.4,,1.0768126346015794,3.4,4.1,4.2,5572.0,Total,74.37,85.7,95.5,1.6,4.5,Pública,Total
São Francisco do Piauí,25.8,13.9,,1.2982195845697329,5.3,5.0,6.8,5392.0,Total,72.99,97.5,97.6,0.1,1.8,Pública,Total
São Félix do Piauí,35.8,12.6,,1.055594651653765,5.5,4.9,6.0,2842.0,Total,77.91,97.7,99.2,0.3,0.8,Pública,Total
São Gonçalo do Gurguéia,30.3,22.7,,1.0179843909060062,4.1,4.0,4.3,2947.0,Total,82.11,92.8,95.7,2.0,2.1,Pública,Total
São Gonçalo do Piauí,19.4,14.2,,0.8269588587967748,4.7,3.9,4.7,4837.0,Total,79.2,99.6,92.5,0.0,2.3,Pública,Total
São José do Divino,19.8,4.4,,1.4459822350753977,5.3,4.5,6.6,4841.0,Total,69.87,100.0,91.8,0.0,8.2,Pública,Total
São José do Peixe,20.0,15.5,,0.6066120715802245,4.4,3.8,5.5,3297.0,Total,79.69,98.9,88.9,0.0,6.3,Pública,Total
São José do Piauí,24.9,13.9,,0.4547521600727603,4.7,4.2,5.0,6597.0,Total,72.57,99.7,95.4,0.3,4.6,Pública,Total
São João da Canabrava,26.4,9.0,,0.47147571900047147,5.8,4.1,6.9,4242.0,Total,75.21,99.6,95.9,0.2,4.1,Pública,Total
São João da Fronteira,19.8,13.6,,0.5432814197754436,4.2,4.5,5.2,5522.0,Total,73.19,98.0,97.0,1.2,3.0,Pública,Total
São João da Serra,17.1,8.8,,0.8177952240758913,4.7,4.9,5.9,6114.0,Total,71.77,100.0,100.0,0.0,0.0,Pública,Total
São João da Varjota,39.4,17.8,,1.1407711613050422,4.9,3.9,5.2,4383.0,Total,72.33,98.8,93.6,0.0,5.8,Pública,Total
São João do Arraial,27.4,8.7,,0.8551184949914489,5.3,4.1,5.9,8186.0,Total,76.95,99.2,95.9,0.3,3.6,Pública,Total
São João do Piauí,34.8,13.2,470.6894733934818,0.42014845245320015,4.5,3.8,5.5,21421.0,Total,82.99,96.3,94.4,0.7,4.0,Pública,Total
São Julião,18.2,14.4,,0.6639004149377593,4.7,4.2,5.7,6025.0,Total,72.34,99.8,98.9,0.0,1.1,Pública,Total
São Lourenço do Piauí,30.1,13.7,,1.1337868480725624,4.5,4.4,4.7,4410.0,Total,83.69,98.8,99.4,1.0,0.0,Pública,Total
São Luis do Piauí,19.6,7.9,,0.8661758336942399,5.1,4.0,6.6,2309.0,Total,73.55,100.0,93.4,0.0,6.6,Pública,Total
São Miguel da Baixa Grande,31.4,18.2,,0.881445570736007,5.6,4.6,6.3,2269.0,Total,70.82,99.7,100.0,0.3,0.0,Pública,Total
São Miguel do Fidalgo,20.7,25.2,,0.3534817956875221,4.8,4.5,5.3,2829.0,Total,77.3,89.2,100.0,0.5,0.0,Pública,Total
São Miguel do Tapuio,15.4,1.2,,0.5696707303178763,4.3,4.1,5.0,17554.0,Total,71.42,100.0,98.7,0.0,1.3,Pública,Total
São Pedro do Piauí,39.1,13.0,481.480958688111,0.5089058524173028,5.0,3.9,4.8,13755.0,Total,76.66,98.5,90.1,0.2,9.2,Pública,Total
São Raimundo Nonato,21.0,11.5,479.1799461819277,0.4623208506703652,4.5,4.4,5.4,38934.0,Total,85.82,98.5,98.1,0.5,1.0,Pública,Total
Tamboril do Piauí,37.2,15.9,,0.339097999321804,4.5,3.8,4.8,2949.0,Total,73.75,99.7,100.0,0.0,0.0,Pública,Total
Tanque do Piauí,38.5,19.2,,0.4317789291882556,5.8,4.8,6.6,2316.0,Total,81.07,95.7,89.1,0.0,10.9,Pública,Total
Teresina,19.7,9.1,539.0882382449781,0.19854553849705645,5.7,4.5,6.4,866300.0,Total,92.88,98.8,97.2,0.2,1.2,Pública,Total
União,31.0,18.7,485.38185549706265,0.5637589713567077,5.1,3.9,5.6,46119.0,Total,77.02,99.8,94.3,0.0,1.8,Pública,Total
Uruçuí,30.6,18.8,464.970936827957,0.2777447129310003,4.7,3.7,4.7,25203.0,Total,86.7,99.0,96.0,0.9,3.3,Pública,Total
Valença do Piauí,21.8,17.6,480.3256545719576,0.4937384981372593,4.6,4.7,4.6,22279.0,Total,81.96,93.0,97.5,1.2,1.5,Pública,Total
Vera Mendes,36.0,21.5,,0.3139717425431711,4.5,4.1,4.9,3185.0,Total,68.31,96.8,96.3,1.2,2.8,Pública,Total
Vila Nova do Piauí,20.0,9.4,,0.6814310051107325,6.0,4.3,7.1,2935.0,Total,73.1,100.0,100.0,0.0,0.0,Pública,Total
Várzea Branca,37.7,26.2,,0.791295746785361,3.7,4.1,4.5,5055.0,Total,73.5,89.5,98.0,3.5,2.0,Pública,Total
Várzea Grande,23.3,11.2,,0.6791940230925968,4.7,4.3,5.6,4417.0,Total,78.27,94.2,97.7,0.5,2.3,Pública,Total
Wall Ferraz,25.4,17.1,,,4.9,4.0,5.6,,Total,71.13,99.8,90.8,0.2,3.8,Pública,Total
Água Branca,10.9,5.9,485.88524428684,0.39833835998406647,5.6,4.1,6.8,17573.0,Total,84.94,99.7,100.0,0.0,0.0,Pública,Total
